race/ethnicity,parental level of education,test preparation course,math score,reading score,writing score
group C,associate's degree,none,64,66,59
group B,some college,none,55,55,47
group C,some college,none,54,64,65
group B,bachelor's degree,none,88,75,76
group C,some high school,none,74,75,82
group B,bachelor's degree,none,77,85,87
group C,associate's degree,completed,67,84,86
group E,bachelor's degree,none,82,62,62
group E,high school,completed,59,63,75
group A,some college,none,49,65,55
group C,bachelor's degree,none,86,83,86
group C,some high school,none,57,61,54
group B,associate's degree,completed,59,70,66
group D,some college,none,77,86,86
group C,some college,none,80,64,66
group C,some college,none,69,78,76
group E,some high school,completed,74,64,60
group B,associate's degree,none,67,62,60
group A,some high school,none,47,59,50
group C,high school,completed,40,46,50
group D,some high school,none,51,63,61
group D,high school,none,69,75,71
group D,associate's degree,none,56,65,63
group D,associate's degree,none,80,75,77
group C,some college,none,74,77,73
group B,some high school,none,57,67,72
group B,some high school,none,72,68,67
group B,some college,none,54,52,51
group D,some high school,completed,55,59,59
group D,some high school,none,55,47,44
group E,high school,completed,57,56,54
group C,associate's degree,completed,56,68,70
group B,some high school,none,49,58,55
group A,associate's degree,completed,97,92,86
group D,some college,completed,71,61,69
group E,bachelor's degree,completed,92,100,100
group B,some college,none,82,85,87
group C,high school,none,81,66,64
group C,high school,none,71,66,65
group B,high school,completed,60,44,47
group B,some high school,none,73,79,79
group D,bachelor's degree,none,69,58,57
group E,some high school,none,82,67,61
group C,some college,completed,67,75,70
group C,bachelor's degree,none,44,63,62
group C,associate's degree,none,87,73,72
group D,some college,none,69,65,74
group E,associate's degree,completed,97,82,88
group B,some high school,completed,32,51,44
group C,master's degree,none,79,72,69
group D,associate's degree,none,52,55,49
group C,some college,none,72,72,71
group B,high school,none,66,77,70
group B,high school,none,70,65,60
group E,master's degree,none,81,92,91
group C,high school,none,63,69,74
group C,associate's degree,none,64,64,70
group D,bachelor's degree,none,50,42,48
group B,associate's degree,none,81,73,72
group C,high school,completed,58,51,52
group D,some college,none,80,90,89
group C,some college,none,59,71,70
group D,some high school,none,56,54,52
group C,associate's degree,none,92,79,84
group C,associate's degree,completed,62,76,80
group C,bachelor's degree,completed,79,92,89
group E,high school,completed,57,75,73
group D,associate's degree,completed,74,88,90
group B,some high school,none,66,69,68
group C,some college,none,61,61,62
group E,associate's degree,none,90,90,82
group B,bachelor's degree,none,75,84,80
group E,some college,none,69,60,54
group C,high school,none,84,77,74
group D,some high school,none,59,67,61
group D,some college,none,64,74,75
group C,high school,completed,59,71,65
group D,some college,none,76,71,73
group C,some college,none,69,64,68
group E,some college,none,53,58,57
group D,some college,none,60,66,70
group E,high school,completed,87,91,81
group C,high school,none,66,76,68
group C,bachelor's degree,completed,66,83,83
group C,some high school,completed,65,76,75
group C,associate's degree,completed,96,96,99
group D,associate's degree,none,66,62,64
group D,high school,none,78,81,80
group E,associate's degree,none,89,76,74
group B,associate's degree,none,53,71,67
group C,some high school,none,65,69,76
group C,some high school,completed,70,82,76
group B,some college,none,60,60,60
group E,associate's degree,none,87,94,95
group D,bachelor's degree,completed,67,61,68
group C,associate's degree,none,47,37,35
group C,some college,completed,71,71,80
group A,some high school,completed,46,41,43
group D,high school,none,44,51,48
group B,high school,none,64,73,71
group D,some high school,none,86,73,70
group B,some college,completed,74,77,76
group D,associate's degree,none,82,95,89
group C,associate's degree,none,66,77,73
group C,some college,none,63,61,54
group E,bachelor's degree,completed,79,74,72
group D,some college,none,65,81,77
group C,associate's degree,completed,65,84,84
group C,some college,none,22,39,33
group B,master's degree,none,77,90,84
group C,some college,none,62,69,69
group D,high school,none,89,87,79
group B,bachelor's degree,none,59,54,51
group B,some high school,completed,64,53,57
group E,master's degree,none,62,68,68
group E,associate's degree,none,66,65,69
group A,high school,completed,75,82,79
group E,bachelor's degree,none,65,73,75
group D,some college,none,81,82,84
group C,some college,none,63,74,74
group C,some high school,none,47,54,53
group B,some college,none,79,67,67
group C,associate's degree,completed,71,77,77
group A,bachelor's degree,none,91,96,92
group B,some high school,none,67,64,61
group D,some college,completed,52,59,65
group A,associate's degree,none,62,61,55
group D,some college,completed,74,75,79
group D,bachelor's degree,none,79,89,89
group E,bachelor's degree,none,61,58,62
group B,some college,none,45,53,55
group D,some college,none,69,77,77
group C,some high school,none,44,50,51
group E,high school,none,70,55,56
group B,some college,completed,59,65,66
group D,some college,none,77,62,64
group C,bachelor's degree,completed,96,90,92
group E,high school,completed,86,81,75
group D,some college,none,49,58,60
group B,some high school,completed,61,56,56
group C,bachelor's degree,completed,43,51,54
group E,some high school,completed,80,85,85
group C,master's degree,none,71,67,67
group B,associate's degree,none,82,80,77
group E,associate's degree,completed,62,61,58
group C,some high school,none,69,71,65
group B,high school,none,60,68,60
group D,bachelor's degree,completed,74,71,80
group B,associate's degree,completed,82,84,78
group C,master's degree,completed,46,42,46
group B,some college,none,79,86,92
group D,master's degree,none,95,81,84
group E,some college,none,86,76,74
group C,bachelor's degree,none,62,78,79
group C,associate's degree,none,55,61,54
group C,high school,none,59,72,68
group E,master's degree,completed,88,99,95
group D,master's degree,none,92,100,100
group C,high school,none,61,56,55
group C,high school,none,52,53,49
group C,associate's degree,none,59,66,67
group C,some college,completed,79,79,78
group C,some college,completed,88,95,94
group C,high school,none,70,56,51
group D,master's degree,none,74,79,82
group E,master's degree,none,56,72,65
group D,master's degree,completed,85,95,100
group D,some college,none,55,58,52
group B,high school,none,74,72,72
group B,bachelor's degree,completed,66,74,81
group E,bachelor's degree,completed,99,100,100
group B,associate's degree,none,52,76,70
group C,some college,none,68,68,61
group C,bachelor's degree,none,53,58,55
group E,some college,none,53,55,48
group B,high school,none,79,60,65
group E,associate's degree,completed,91,73,80
group C,high school,none,76,76,74
group C,some high school,none,64,58,51
group D,high school,completed,64,64,67
group B,master's degree,completed,58,76,78
group D,high school,none,73,92,84
group E,associate's degree,none,50,56,54
group D,some college,none,71,83,83
group D,some college,completed,82,82,88
group C,some high school,none,79,76,65
group C,some college,none,73,76,78
group B,some high school,completed,79,85,86
group D,high school,none,45,48,46
group C,associate's degree,completed,51,60,58
group B,associate's degree,none,87,85,73
group C,associate's degree,none,46,43,42
group D,associate's degree,none,76,74,73
group D,some college,none,60,63,59
group D,some college,completed,79,84,91
group E,high school,none,84,73,69
group A,some high school,completed,59,85,80
group B,some high school,completed,49,50,52
group C,high school,none,35,61,54
group C,associate's degree,completed,57,77,80
group A,high school,none,63,63,62
group C,high school,none,50,48,42
group D,associate's degree,completed,61,71,73
group D,associate's degree,none,61,48,46
group E,master's degree,none,81,86,87
group C,some high school,completed,85,92,93
group E,bachelor's degree,none,100,100,100
group C,high school,none,70,70,65
group E,some high school,none,77,79,80
group B,some college,none,70,75,78
group E,some high school,none,94,88,78
group D,associate's degree,none,74,81,83
group D,bachelor's degree,none,54,49,47
group B,high school,none,81,91,89
group B,high school,none,57,48,51
group E,some high school,completed,77,76,77
group E,bachelor's degree,completed,79,81,82
group B,high school,completed,52,49,46
group E,associate's degree,completed,94,85,82
group D,high school,completed,57,58,64
group E,some high school,completed,87,84,76
group C,high school,completed,69,58,53
group D,bachelor's degree,completed,93,100,100
group B,high school,completed,73,71,68
group A,some high school,completed,61,62,61
group C,some college,none,62,72,70
group D,some college,none,67,64,70
group E,some college,none,66,57,52
group B,bachelor's degree,none,66,60,57
group C,some high school,none,49,49,41
group C,some college,completed,45,73,70
group D,some high school,completed,35,55,60
group A,associate's degree,none,37,57,56
group D,associate's degree,none,90,87,75
group C,associate's degree,none,58,73,68
group E,master's degree,none,45,56,54
group E,high school,none,50,50,47
group C,some high school,completed,44,51,55
group D,associate's degree,none,80,75,69
group E,bachelor's degree,completed,100,100,100
group D,associate's degree,completed,57,78,79
group D,associate's degree,none,43,60,58
group D,associate's degree,none,80,63,63
group B,some college,none,41,39,34
group D,associate's degree,none,61,55,52
group B,high school,none,58,68,61
group C,some college,none,73,80,82
group C,high school,none,90,75,69
group D,bachelor's degree,none,75,73,74
group C,high school,none,36,53,43
group D,some high school,none,81,97,96
group D,some college,none,40,42,38
group D,bachelor's degree,none,73,79,84
group E,some college,none,71,70,76
group C,some college,none,53,39,37
group C,associate's degree,none,62,74,70
group C,bachelor's degree,none,67,75,72
group D,some college,none,62,57,62
group E,high school,completed,66,74,78
group C,bachelor's degree,completed,91,81,79
group A,associate's degree,none,41,51,48
group A,some high school,none,79,82,73
group E,some college,completed,81,74,71
group B,high school,none,62,62,63
group D,associate's degree,none,81,71,73
group D,some college,none,44,54,53
group C,high school,none,62,55,49
group E,some college,none,84,77,71
group B,associate's degree,none,46,61,55
group D,some high school,completed,74,71,78
group D,master's degree,none,78,91,96
group C,associate's degree,none,60,75,74
group C,high school,none,54,59,62
group E,some college,completed,87,74,70
group A,some college,none,69,84,82
group D,some high school,completed,71,69,68
group C,associate's degree,none,85,89,95
group D,high school,none,57,50,54
group D,associate's degree,completed,75,90,88
group C,some college,none,83,83,90
group D,bachelor's degree,completed,39,42,38
group C,some high school,completed,59,69,65
group C,high school,completed,53,52,49
group E,associate's degree,none,76,71,67
group C,high school,none,65,69,67
group A,master's degree,none,73,74,72
group D,some college,none,63,61,60
group D,some college,none,63,64,67
group C,master's degree,none,79,81,71
group D,associate's degree,none,90,87,85
group A,high school,completed,68,80,76
group C,some high school,none,69,73,73
group D,some college,completed,63,80,80
group C,master's degree,none,67,57,59
group B,bachelor's degree,none,75,85,82
group C,some college,completed,63,78,80
group A,associate's degree,completed,65,70,74
group C,some college,completed,98,86,90
group D,bachelor's degree,completed,74,79,75
group A,some college,completed,78,72,70
group E,master's degree,completed,94,99,100
group D,master's degree,none,87,100,100
group B,high school,none,42,52,51
group E,some college,none,76,67,67
group D,bachelor's degree,none,68,68,67
group D,high school,none,88,78,75
group C,high school,none,72,80,83
group A,bachelor's degree,none,77,67,68
group B,some high school,none,37,46,46
group C,high school,none,59,53,52
group C,bachelor's degree,none,81,88,90
group D,master's degree,completed,84,89,90
group E,associate's degree,none,68,76,67
group E,associate's degree,completed,79,88,94
group C,associate's degree,none,64,73,68
group D,bachelor's degree,none,59,70,73
group E,associate's degree,none,87,74,76
group B,bachelor's degree,none,67,86,83
group B,some high school,none,48,52,45
group C,some high school,none,61,57,56
group D,some college,none,55,71,69
group C,bachelor's degree,none,83,93,95
group C,some college,completed,69,90,88
group D,some college,none,79,73,67
group D,associate's degree,completed,67,54,63
group B,some college,completed,91,96,91
group A,master's degree,none,50,67,73
group B,high school,none,59,58,47
group C,high school,none,33,41,43
group D,some high school,completed,64,60,74
group C,some high school,completed,51,56,53
group D,some college,completed,58,59,58
group D,some college,none,71,49,52
group E,associate's degree,completed,78,74,72
group C,associate's degree,completed,57,54,56
group A,some high school,none,44,64,58
group A,high school,completed,77,88,85
group C,some high school,none,63,73,68
group C,some college,completed,42,66,69
group C,master's degree,none,40,58,54
group B,some high school,completed,54,61,62
group C,high school,none,71,79,71
group D,some high school,none,74,74,72
group C,some high school,none,51,52,44
group B,some college,none,54,54,45
group B,associate's degree,completed,68,77,80
group D,high school,none,70,70,70
group E,associate's degree,completed,65,75,77
group C,some high school,none,73,66,63
group C,associate's degree,none,40,59,51
group E,high school,completed,81,80,76
group C,some college,none,53,62,56
group C,master's degree,none,79,78,77
group C,high school,completed,75,69,68
group D,some high school,completed,89,88,82
group C,associate's degree,none,69,80,71
group D,some high school,completed,80,79,79
group C,associate's degree,none,39,64,57
group D,associate's degree,none,81,75,78
group D,some high school,completed,65,78,82
group D,some college,none,68,59,62
group C,bachelor's degree,completed,94,90,91
group D,associate's degree,none,52,59,56
group D,some high school,completed,80,92,88
group C,bachelor's degree,completed,59,64,75
group E,bachelor's degree,none,68,68,64
group C,high school,none,62,67,64
group E,associate's degree,none,100,100,100
group B,master's degree,none,90,95,93
group C,high school,none,42,62,60
group D,associate's degree,completed,87,84,85
group C,some college,none,62,67,62
group C,high school,none,81,84,82
group B,some college,completed,69,77,77
group D,some high school,none,62,49,52
group B,bachelor's degree,completed,87,90,88
group A,associate's degree,none,47,57,44
group C,high school,none,29,29,30
group B,bachelor's degree,none,72,72,74
group C,some college,none,58,67,72
group B,some college,none,63,65,61
group E,some high school,none,72,79,77
group D,high school,none,56,52,55
group E,associate's degree,none,72,64,63
group B,some high school,none,18,32,28
group C,high school,none,66,66,59
group C,some high school,completed,76,80,73
group B,associate's degree,completed,82,78,74
group E,associate's degree,completed,71,74,68
group D,bachelor's degree,none,65,67,62
group C,some college,none,35,28,27
group C,master's degree,completed,72,66,72
group C,some college,completed,63,73,71
group A,high school,none,71,74,64
group E,some college,none,68,60,59
group D,associate's degree,none,85,91,89
group A,high school,completed,34,48,41
group E,some college,completed,86,85,91
group A,high school,none,61,68,63
group E,some college,completed,73,78,76
group E,associate's degree,completed,57,68,73
group D,some high school,none,75,74,69
group D,some college,completed,76,83,79
group D,some college,none,88,73,78
group E,associate's degree,none,64,56,52
group E,bachelor's degree,completed,70,64,70
group D,associate's degree,none,46,56,57
group B,some college,completed,53,66,73
group C,associate's degree,none,49,51,43
group C,bachelor's degree,completed,71,74,68
group A,some college,none,61,60,57
group B,associate's degree,completed,58,57,53
group A,high school,completed,72,67,65
group B,associate's degree,completed,65,65,63
group D,some high school,none,59,42,41
group A,high school,none,57,51,54
group B,bachelor's degree,none,52,65,69
group B,some high school,completed,84,83,75
group B,some high school,completed,63,67,67
group C,some college,none,58,59,66
group C,high school,none,71,60,61
group D,some college,none,49,57,46
group B,high school,none,52,48,49
group C,some high school,completed,78,72,69
group C,high school,none,70,74,71
group C,associate's degree,none,52,55,57
group C,some college,none,32,39,33
group C,associate's degree,none,91,95,94
group C,some college,completed,64,82,77
group B,some high school,completed,52,67,72
group C,high school,none,61,60,55
group C,bachelor's degree,none,43,62,61
group B,some college,none,62,61,57
group E,associate's degree,none,85,92,85
group B,some college,none,47,43,41
group C,some college,none,59,60,58
group C,high school,completed,50,66,64
group C,associate's degree,none,58,54,52
group D,associate's degree,none,55,76,76
group C,associate's degree,completed,59,73,72
group B,some college,completed,50,64,66
group A,some college,none,75,81,74
group D,bachelor's degree,none,55,46,44
group D,associate's degree,none,53,54,48
group D,high school,none,69,70,67
group D,some high school,none,69,66,61
group B,high school,none,54,64,68
group B,some high school,none,62,64,66
group B,some high school,none,72,81,79
group D,high school,completed,52,57,56
group B,some college,completed,88,95,92
group A,some college,completed,100,96,86
group D,high school,completed,69,77,78
group D,bachelor's degree,none,63,66,67
group C,bachelor's degree,completed,77,94,95
group C,associate's degree,none,84,80,80
group C,associate's degree,none,85,76,71
group E,associate's degree,completed,81,81,79
group A,some high school,none,53,54,48
group B,some high school,completed,51,54,41
group C,bachelor's degree,completed,52,61,66
group D,some high school,none,84,84,80
group D,some high school,none,86,80,75
group B,associate's degree,none,61,42,41
group C,associate's degree,completed,75,82,90
group E,some high school,none,74,74,72
group D,bachelor's degree,none,88,78,83
group D,some college,completed,75,77,83
group B,associate's degree,none,65,54,57
group C,some college,none,55,69,65
group C,some college,none,73,74,61
group C,high school,none,58,61,52
group B,some high school,completed,74,90,88
group C,some high school,completed,67,74,77
group C,associate's degree,completed,98,87,90
group E,some college,none,87,85,93
group C,some college,none,82,90,94
group C,master's degree,none,54,59,50
group A,bachelor's degree,none,45,59,64
group C,high school,completed,53,51,51
group C,some high school,none,77,91,88
group B,associate's degree,none,80,76,64
group C,associate's degree,none,81,77,79
group A,some college,completed,78,87,91
group A,high school,completed,72,73,74
group D,some high school,none,80,90,82
group D,bachelor's degree,none,78,90,93
group B,high school,completed,68,83,78
group D,high school,none,39,52,46
group C,some high school,completed,59,54,67
group C,bachelor's degree,completed,70,75,74
group E,some college,none,59,51,43
group D,master's degree,completed,47,58,67
group D,some high school,none,45,37,37
group D,some college,completed,85,81,85
group C,associate's degree,completed,78,77,77
group C,master's degree,completed,65,81,81
group A,some high school,completed,66,68,64
group C,associate's degree,none,49,53,53
group C,some high school,none,65,86,80
group C,some college,none,54,48,52
group B,high school,completed,76,62,60
group E,bachelor's degree,none,80,83,83
group E,associate's degree,none,46,43,41
group A,bachelor's degree,completed,80,78,81
group D,some high school,none,48,58,54
group B,some high school,completed,65,66,62
group B,some college,none,74,81,76
group A,some high school,none,39,39,34
group D,bachelor's degree,none,62,72,74
group A,bachelor's degree,none,62,72,65
group D,high school,none,60,57,51
group A,some college,none,58,60,57
group C,master's degree,completed,54,64,67
group D,some high school,none,73,66,62
group B,associate's degree,none,57,56,57
group A,associate's degree,none,67,57,53
group B,some college,none,58,61,66
group C,bachelor's degree,completed,56,79,72
group C,some high school,none,69,75,78
group C,some college,none,66,59,52
group A,high school,none,59,52,46
group D,associate's degree,none,26,31,38
group E,associate's degree,completed,83,86,88
group C,associate's degree,completed,65,67,65
group D,associate's degree,completed,57,74,76
group E,high school,none,75,86,79
group E,some college,none,68,70,66
group C,some college,none,76,78,75
group D,some high school,none,65,82,81
group A,associate's degree,none,63,61,61
group C,some college,none,59,41,42
group C,associate's degree,none,83,72,78
group A,some high school,completed,47,49,49
group D,high school,none,45,63,59
group E,some college,none,68,72,65
group D,some high school,none,62,67,61
group D,associate's degree,completed,79,82,80
group A,bachelor's degree,completed,87,84,87
group C,associate's degree,completed,78,81,82
group B,associate's degree,completed,52,66,73
group C,some high school,completed,63,60,57
group B,some high school,none,41,55,51
group C,high school,none,54,72,59
group A,some high school,none,48,66,65
group C,some college,none,58,49,42
group D,bachelor's degree,completed,68,74,74
group A,some high school,none,55,46,43
group B,some high school,none,70,64,72
group C,some high school,none,68,63,54
group C,associate's degree,none,53,62,53
group C,some college,none,52,58,58
group D,high school,none,63,57,56
group E,some college,none,93,90,83
group E,some college,completed,84,83,78
group B,some college,none,62,67,67
group C,some college,completed,67,74,70
group D,associate's degree,none,59,70,65
group C,associate's degree,none,77,67,64
group D,some high school,none,60,59,54
group D,master's degree,none,81,81,84
group C,some college,none,65,58,49
group C,some high school,none,48,56,51
group B,associate's degree,none,80,86,83
group C,associate's degree,completed,82,93,93
group D,high school,none,72,66,66
group D,master's degree,none,89,84,82
group B,high school,completed,76,85,82
group C,bachelor's degree,completed,74,86,89
group D,some college,none,98,100,99
group B,high school,completed,58,70,68
group A,some high school,completed,92,100,97
group A,some high school,none,51,31,36
group D,associate's degree,none,65,69,70
group D,some high school,none,76,72,71
group C,bachelor's degree,none,37,56,47
group D,some college,none,58,67,62
group B,high school,none,50,53,55
group A,high school,none,45,47,49
group E,associate's degree,none,53,45,40
group C,high school,none,61,72,70
group D,some college,none,62,70,72
group B,high school,none,66,72,70
group D,master's degree,none,82,82,74
group E,some high school,completed,68,51,57
group C,some high school,none,73,66,66
group E,associate's degree,completed,93,100,95
group B,bachelor's degree,none,73,56,57
group C,associate's degree,none,69,77,69
group C,bachelor's degree,none,86,92,87
group C,bachelor's degree,none,58,55,48
group B,high school,none,48,62,60
group D,some college,none,69,74,74
group B,associate's degree,completed,81,82,82
group D,some college,none,74,89,84
group C,master's degree,none,52,65,61
group C,associate's degree,none,53,61,62
group C,high school,none,53,72,64
group A,some college,completed,50,47,54
group A,some high school,none,38,43,43
group D,associate's degree,none,71,66,60
group C,high school,completed,67,79,84
group E,high school,none,55,56,51
group D,associate's degree,none,80,68,72
group A,some high school,none,71,62,50
group C,high school,none,75,88,85
group B,high school,completed,69,76,74
group E,associate's degree,completed,66,63,64
group C,some college,none,58,57,54
group D,some high school,none,59,58,59
group A,some college,none,53,43,43
group B,master's degree,completed,52,70,62
group D,high school,completed,73,68,66
group C,associate's degree,completed,55,72,79
group C,some high school,completed,65,74,77
group A,some college,none,54,63,67
group B,associate's degree,none,73,83,76
group D,some college,none,49,65,61
group D,some high school,none,81,78,78
group D,associate's degree,none,47,53,58
group E,some college,completed,42,55,54
group B,some high school,completed,59,63,64
group C,bachelor's degree,none,50,60,59
group E,associate's degree,none,51,51,54
group E,bachelor's degree,completed,85,66,71
group C,high school,completed,58,75,77
group E,some college,completed,85,75,68
group B,associate's degree,completed,69,70,63
group D,high school,completed,88,99,100
group B,some college,completed,65,75,70
group D,bachelor's degree,none,89,100,100
group D,some college,completed,77,62,62
group B,some high school,none,68,54,53
group C,bachelor's degree,none,65,79,81
group E,high school,none,64,62,68
group D,high school,none,41,52,51
group C,high school,none,34,42,39
group C,associate's degree,none,73,68,66
group D,bachelor's degree,completed,61,70,76
group B,associate's degree,none,44,41,38
group C,master's degree,completed,79,77,75
group B,some college,completed,87,84,86
group B,bachelor's degree,none,97,97,96
group D,master's degree,none,40,59,54
group C,some college,completed,70,72,76
group D,some high school,none,27,34,32
group B,associate's degree,completed,94,87,92
group B,bachelor's degree,none,62,63,56
group B,associate's degree,none,90,78,81
group E,some college,none,61,64,62
group C,some high school,none,48,58,52
group D,some college,none,59,62,61
group C,associate's degree,none,63,67,70
group D,high school,completed,55,41,48
group D,high school,none,51,66,62
group D,some high school,none,50,64,59
group C,associate's degree,none,54,58,61
group A,associate's degree,none,65,85,76
group D,some college,none,69,66,60
group C,some college,none,84,87,81
group C,associate's degree,completed,67,84,81
group D,some high school,completed,78,81,86
group C,high school,none,75,81,71
group D,master's degree,none,85,84,89
group B,some college,none,66,65,60
group E,associate's degree,none,84,95,92
group B,associate's degree,none,61,58,56
group E,associate's degree,none,70,84,81
group C,high school,none,72,80,75
group C,some college,none,76,83,88
group D,some college,none,51,58,54
group C,some high school,completed,71,84,87
group C,some college,completed,88,93,93
group E,some college,none,76,71,72
group E,some high school,none,30,26,22
group C,some high school,none,62,64,55
group B,bachelor's degree,none,78,79,76
group D,high school,none,66,69,63
group E,master's degree,none,90,85,84
group C,associate's degree,none,62,65,58
group B,associate's degree,none,54,65,65
group E,some college,completed,99,87,81
group D,some college,completed,82,97,96
group E,some college,none,67,76,75
group A,bachelor's degree,none,51,49,51
group C,high school,none,60,68,72
group B,high school,none,50,67,63
group C,some high school,none,43,53,53
group E,associate's degree,completed,46,43,44
group C,high school,none,27,34,36
group C,associate's degree,completed,43,45,50
group D,high school,none,76,73,68
group D,some college,completed,69,60,63
group B,high school,none,71,87,82
group B,high school,none,65,64,62
group B,associate's degree,completed,91,89,92
group C,high school,none,44,61,52
group C,associate's degree,completed,68,86,84
group C,associate's degree,none,49,51,51
group C,associate's degree,completed,87,100,95
group D,some high school,completed,88,74,75
group C,some high school,completed,53,37,40
group A,some high school,none,59,73,69
group B,high school,completed,23,44,36
group B,bachelor's degree,none,61,72,70
group C,associate's degree,none,85,84,82
group A,some high school,none,44,45,45
group B,associate's degree,completed,90,90,91
group E,some high school,none,92,87,78
group A,associate's degree,completed,55,65,62
group C,high school,none,68,60,53
group B,some college,completed,88,85,76
group D,associate's degree,none,75,68,64
group E,some college,none,97,87,82
group E,some college,completed,75,88,85
group B,some college,none,75,68,65
group B,associate's degree,none,58,63,65
group A,some high school,none,68,72,64
group C,high school,completed,82,84,82
group A,some college,none,69,67,69
group C,associate's degree,none,58,55,53
group C,associate's degree,completed,52,59,62
group A,bachelor's degree,completed,49,58,60
group B,some college,completed,62,66,68
group C,associate's degree,completed,68,67,73
group E,associate's degree,none,73,76,78
group B,high school,none,63,48,47
group B,associate's degree,none,71,83,78
group D,some high school,none,59,72,80
group D,associate's degree,none,52,57,50
group B,some high school,none,82,82,80
group B,high school,none,36,29,27
group C,some high school,none,55,65,62
group C,bachelor's degree,none,61,66,61
group B,high school,none,65,81,73
group D,some high school,none,67,84,84
group D,master's degree,none,54,60,63
group D,bachelor's degree,completed,68,75,81
group B,some high school,completed,60,70,74
group B,some college,none,61,68,66
group D,master's degree,completed,61,71,78
group D,associate's degree,completed,81,72,77
group C,high school,none,62,55,55
group B,high school,completed,67,78,79
group B,some college,completed,71,75,70
group D,some high school,none,73,86,82
group E,associate's degree,completed,62,56,53
group C,some college,none,91,74,76
group D,some college,completed,69,79,81
group C,some high school,completed,45,52,49
group A,some high school,none,64,50,43
group C,some high school,completed,64,79,77
group D,associate's degree,completed,77,89,98
group C,high school,none,88,89,86
group D,some college,none,77,68,77
group D,high school,none,64,54,50
group D,some high school,completed,69,86,81
group B,high school,completed,73,69,68
group C,high school,completed,86,81,80
group D,some college,completed,85,86,98
group C,associate's degree,completed,83,85,90
group A,associate's degree,none,54,53,47
group A,bachelor's degree,completed,75,58,62
group B,some college,none,40,43,39
group C,bachelor's degree,none,77,88,87
group C,some college,completed,50,48,53
